gateid,treatment,date_random_assignment,site,w1_completed,w2_completed,w3_completed,age,gender,race_white_hispanic,race_white_not_hispanic,race_black_hispanic,race_black_not_hispanic,race_american_indian_alaskan,race_hawaiian_pacific_islander,race_asian,race_other,language,grade,household_size,has_children_in_hh,number_of_children_in_hh,marital_status,household_income,born_us,citizen,disability,ever_self_employed,years_self_employed,cb_industry,cb_start_mth,cb_start_year,cb_end_mth,cb_end_year,self_employed_at_application,weeks_self_employed,cb_weekly_hours_worked,cb_was_financial_success,cb_maximum_employees,relatives_friends_ever_se,worked_for_relatives_friends_se,working_in_wage_and_salary_job,now_self_employed,now_looking_for_work,now_in_school_or_training,now_caring_for_family_member,now_retired,now_doing_other,now_disabled,ever_worked,month_last_job_ended,year_last_job_ended,reason_last_job_ended,hourly_pay_rate,hours_worked_per_week,weeks_worked_someone_else,managerial_experience,years_managerial_experience,now_tanf,now_ssi,now_ssdi,now_ga,now_food_stamps,now_social_security,now_health,now_veteran,now_other,currently_receiving_ui_benefits,weeks_received_ui_benefits,family_support,sa_enjoys_working_independently,sa_always_finishes_projects,sa_works_long_hours,sa_has_innovative_ideas,sa_often_takes_initiative,sa_finds_a_way,sa_is_risk_averse,sa_handles_challenges,sa_communicates_well,sa_takes_advice,sa_good_motivator,sa_has_clear_goals,sa_often_misses_deadlines,sa_is_organized,sa_is_indecisive,sa_works_well_under_pressure,sa_has_sense_of_humor,sa_will_not_risk_savings,sa_will_lower_standard_of_living,sa_gets_sick_often,sa_finds_many_solutions,is_responsible_for_child_care,has_child_care_plans,has_car,has_telephone,has_computer,has_bank_account,has_credit_history,has_credit_history_problem,has_salaried_family_support,amount_salaried_family_support,has_health_insurance,health_insurance_source,is_operating_business,months_in_business,ever_operated_similar_business,builds_on_work_skills,builds_on_hobby_skills,is_home_based_business,has_location_in_mind,has_formal_business_plan,why_to_obtain_more_income,why_to_be_own_boss,why_to_pursue_interests,why_to_use_specific_talent,why_for_schedule_flexibility,why_to_work_at_home,why_to_realize_dream,why_to_avoid_unemployment,why_other,why_to_help_others,why_to_create_jobs,why_to_save_for_retirement,why_because_of_disability,why_for_fun_or_job_satisfaction,why_for_personal_fulfillment,why_for_security,why_to_meet_market_needs
ME1160,0,2003-11-10,5,1,0,0,49,1,0,1,0,0,0,0,0,0,1,16,2,0,-1,5,3,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,1,0,0,0,1,10,2003,7,8.5,40,22,0,-1,0,0,0,0,0,0,0,0,0,0,-4,5,1,1,1,1,1,3,5,1,1,2,1,1,5,2,5,1,1,5,1,3,1,0,0,1,1,1,1,1,1,0,-1,0,-1,0,-1,0,0,1,1,-1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
ME1167,0,2003-11-10,5,1,1,1,41,1,1,0,0,0,0,0,0,0,1,12,1,0,-1,5,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0,0,0,0,0,1,10,2003,3,8,45,20,1,3,0,0,0,0,0,0,0,0,0,0,20,2,1,1,1,2,2,1,4,1,1,2,2,2,4,2,4,2,1,4,1,2,2,0,0,1,1,1,1,1,1,0,-1,0,-1,0,-1,0,1,0,1,-1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ME1170,1,2003-11-14,5,1,1,1,40,1,0,1,0,0,0,0,0,0,1,11,4,0,-1,5,3,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,1,0,0,0,0,1,9,2003,9,4.25,60,12,0,-1,0,0,0,0,1,0,1,0,0,0,-4,1,2,1,1,2,3,5,5,2,1,2,1,1,3,2,2,5,1,1,2,1,3,0,0,0,1,1,1,1,1,1,265,1,3,0,-1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
ME1176,0,2003-11-14,5,1,1,1,44,0,0,1,0,0,0,0,0,0,1,16,2,0,-1,1,6,1,1,0,1,15,71,10,1987,-4,-4,1,52,30,1,1,1,0,0,1,0,0,0,0,0,0,1,8,1987,1,13.46,30,-4,1,18,0,0,0,0,0,0,0,0,0,0,-4,2,1,1,1,1,1,1,5,1,2,2,1,2,5,1,5,1,2,5,1,2,1,0,-4,1,1,1,1,1,0,1,600,1,5,1,16,0,1,1,-4,-4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ME1179,1,2003-11-14,5,0,0,0,44,1,0,1,0,0,0,0,0,1,1,13,1,0,-1,5,1,1,1,0,1,1,54,11,1999,1,2000,0,0,40,0,0,0,-1,0,0,1,0,0,0,0,0,1,10,2002,1,16,40,-4,0,-1,0,0,0,0,1,0,0,0,0,0,36,3,1,1,1,1,1,1,2,1,1,2,1,2,5,1,5,1,1,5,2,5,1,0,0,1,1,0,1,0,-1,0,-1,1,3,0,-1,0,0,1,1,-1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
ME1196,0,2003-11-17,5,1,1,1,35,0,0,1,0,0,0,0,0,0,1,18,2,1,1,5,4,1,1,0,1,2,44,6,2001,-4,-4,1,24,20,0,1,1,1,0,1,1,0,0,0,0,0,1,7,2003,1,10,20,26,1,5,0,0,0,0,0,0,0,0,0,1,16,1,1,1,1,1,1,1,2,2,2,1,1,1,4,1,3,2,2,4,1,5,1,0,1,1,1,1,1,1,0,1,200,1,3,1,2,0,1,1,1,-1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ME1202,0,2003-11-21,5,1,1,1,42,1,0,1,0,0,0,0,0,0,1,12,2,1,1,3,3,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,0,0,1,9,2003,3,6,40,26,0,-1,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,1,2,1,5,2,2,1,2,2,5,3,3,3,1,1,1,5,2,0,0,0,0,1,1,1,1,0,-1,0,-1,0,-1,0,1,1,1,-1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ME1208,0,2003-11-21,5,1,1,1,44,0,1,0,0,0,0,0,0,0,1,13,1,0,-1,5,4,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.01,40,-4,-4,-4,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,5,1,5,1,1,4,1,5,1,0,-4,1,1,1,1,0,-1,1,-4,0,-1,0,-1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ME1217,1,2003-11-25,5,0,0,0,46,1,0,1,0,0,0,0,0,0,1,15,4,1,2,1,3,1,1,1,1,6,71,11,1989,11,1995,0,0,60,0,3,0,-1,0,0,1,0,0,0,0,1,1,4,2003,7,6.25,22,18,0,-1,0,0,0,0,0,1,0,0,0,0,-4,2,1,1,1,1,1,2,2,2,2,2,2,2,4,2,4,3,2,3,3,3,2,1,0,0,1,1,1,1,1,0,-1,1,3,0,-1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ME1225,1,2003-12-02,5,1,1,1,28,1,0,0,0,0,0,0,1,1,1,16,2,0,-1,5,4,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,1,0,1,8,2003,1,14.74,45,2,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,5,1,3,1,1,2,5,5,1,0,0,1,1,1,1,1,0,0,-1,0,-1,0,-1,0,1,0,1,-1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ME1226,0,2003-12-02,5,1,1,1,26,1,0,1,0,0,0,0,0,0,1,12,2,0,-1,5,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,46,47,0,-1,0,0,0,0,0,0,0,0,0,0,-4,3,1,1,1,1,1,1,5,1,1,2,1,2,5,1,5,1,1,5,2,5,1,0,0,1,1,1,1,1,0,1,300,0,-1,0,-1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ME1230,0,2003-12-02,5,1,1,1,29,0,0,1,0,0,0,0,0,0,1,16,1,0,-1,5,4,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,0,0,1,5,2003,1,15,43,24,1,2,0,0,0,0,0,0,0,0,0,1,15,1,1,1,1,1,1,2,4,1,1,1,2,1,5,1,4,1,1,4,1,5,2,0,0,1,1,1,1,1,0,0,-1,1,5,0,-1,0,1,0,1,-1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
ME1239,0,2003-12-02,5,1,1,1,48,1,0,1,0,0,0,0,0,0,1,16,4,1,2,1,7,1,1,0,1,24,54,1,1986,12,1998,0,0,40,1,0,1,1,0,0,1,0,0,0,0,0,1,10,2003,1,21.54,50,52,1,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,4,2,2,1,1,2,5,1,4,2,1,4,2,5,1,0,1,1,1,1,1,1,0,1,920,1,2,1,17,0,1,1,1,-1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ME1254,1,2003-12-08,5,1,1,0,44,1,0,0,0,1,0,0,0,0,1,12,1,0,-1,5,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-4,0,0,0,1,0,0,0,0,1,6,2002,1,18,40,-4,0,-1,0,0,0,1,1,0,0,0,0,0,-4,2,1,3,1,1,1,1,1,1,2,2,2,1,3,1,2,1,2,4,1,3,1,0,0,1,1,1,1,1,1,0,-1,1,3,0,-1,1,1,0,1,-1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
ME1255,1,2003-12-08,5,1,1,1,40,0,0,1,0,0,0,0,0,0,1,12,2,0,-1,3,4,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,0,0,0,0,0,1,10,2003,1,16.72,40,11,1,4,0,0,0,0,0,0,0,0,0,1,5,1,1,2,1,1,1,2,1,1,1,1,2,1,5,2,5,1,1,4,1,5,2,0,0,1,1,1,1,1,1,0,-1,0,-1,0,-1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
ME1262,0,2003-12-08,5,1,1,1,54,1,1,0,0,0,0,0,0,0,1,18,2,1,1,3,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,19,45,1,4,0,0,0,0,0,0,0,0,0,0,-4,2,1,1,5,2,2,2,4,2,1,1,4,4,5,2,4,3,1,3,2,5,2,0,1,1,1,1,0,1,0,0,-1,0,-1,0,-1,0,1,1,1,-1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ME1267,0,2003-12-08,5,1,1,1,55,0,0,1,0,0,0,0,0,0,1,14,1,0,-1,5,3,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,0,1,5,2001,1,18,38,-4,1,2,0,0,0,0,0,0,0,0,0,0,-4,-4,1,3,1,2,1,3,3,2,2,4,3,4,3,3,3,3,4,3,3,3,3,0,-4,0,1,1,1,1,0,0,-1,1,1,0,-1,0,1,1,1,-1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
ME1293,0,2003-12-17,5,1,1,0,40,1,0,1,0,0,0,0,0,0,1,12,3,0,-1,5,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,12,2001,4,-4,40,4,0,-1,0,0,0,0,0,1,0,0,0,0,-4,1,1,-4,2,1,1,1,1,2,2,1,1,1,5,2,1,2,1,1,1,5,1,0,-4,1,1,1,1,1,1,0,-1,0,-1,1,1,0,1,0,1,-1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ME1294,1,2003-12-17,5,1,1,1,48,0,0,1,0,0,0,0,0,0,1,14,4,1,3,3,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0,0,0,1,8,2003,1,12,18,19,1,25,0,0,0,0,1,0,0,0,0,1,33,1,1,1,2,1,1,1,2,1,1,1,1,2,4,1,4,3,1,1,1,5,1,0,1,1,1,1,1,1,1,0,-1,1,3,0,-1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
ME1295,1,2003-12-17,5,1,1,1,56,0,0,1,0,0,0,0,0,0,1,13,1,0,-1,3,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,1,0,1,11,1999,7,6.25,40,-4,0,-1,0,1,0,0,1,0,0,0,0,0,-4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,5,2,1,5,4,5,1,0,-4,0,0,0,1,0,-1,0,-1,1,3,0,-1,0,0,1,1,-1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ME1309,0,2003-12-19,5,1,1,0,55,1,0,1,0,0,0,0,0,0,1,12,4,0,-1,3,6,1,1,0,1,26,23,3,1990,9,2002,0,0,60,1,0,1,1,0,0,1,0,0,0,0,0,1,10,2003,4,25,65,48,1,33,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,2,1,1,1,3,1,2,1,1,1,5,1,5,1,1,5,1,5,1,0,-4,1,1,1,1,1,0,0,-1,0,-1,0,-1,0,0,1,1,-1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
ME1323,1,2003-12-23,5,1,1,1,37,1,0,1,0,0,0,0,0,0,1,12,4,1,2,1,6,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0,0,0,0,0,1,5,2003,4,11.54,50,13,1,9,0,0,0,0,0,0,0,0,0,1,28,1,1,1,1,1,1,1,2,1,1,2,1,1,5,1,5,1,1,3,3,5,1,1,1,1,1,1,1,1,0,1,800,1,2,0,-1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ME1332,1,2003-12-23,5,1,1,1,49,1,0,1,0,0,0,0,0,0,1,14,1,0,-1,-4,4,1,1,1,1,1,44,9,1991,9,1992,0,-4,40,0,1,1,0,0,1,0,0,0,0,0,0,1,10,2003,1,12.82,45,43,1,26,0,0,0,0,0,0,0,0,0,1,9,2,1,2,2,2,1,1,4,1,1,1,1,2,4,2,5,1,1,3,2,5,2,0,0,1,1,1,1,1,1,0,-1,0,-1,0,-1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ME1356,0,2003-12-30,5,1,1,1,45,0,0,1,0,0,0,0,0,0,1,12,3,1,1,1,2,1,1,0,1,5,81,5,1998,-4,-4,1,52,60,1,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.75,30,8,1,5,0,0,0,1,1,0,0,0,0,0,-4,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,5,1,5,1,0,1,1,1,1,0,1,1,1,600,1,3,0,-1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
ME1357,0,2003-12-30,5,1,1,1,42,0,0,1,0,0,0,0,0,0,1,14,1,0,-1,3,4,1,1,0,1,10,54,9,1985,7,1993,0,0,60,1,1,0,-1,0,0,1,0,0,0,0,0,1,8,2003,7,13.5,45,43,0,-1,0,0,0,0,0,0,0,0,0,1,7,3,1,1,1,2,1,2,4,1,4,1,3,4,5,4,2,1,1,2,1,4,4,-4,-4,1,1,1,1,1,1,0,-1,0,-1,0,-1,0,1,1,1,-1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ME1358,1,2003-12-30,5,1,1,1,63,0,0,1,0,0,0,0,0,0,1,14,7,1,2,1,6,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.82,30,52,1,2,0,0,0,0,0,1,0,0,0,0,-4,1,1,1,2,2,1,1,3,2,1,1,2,2,5,3,5,3,2,2,1,5,3,0,-4,1,1,1,1,1,0,0,-1,1,4,0,-1,0,0,1,1,-1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ME1359,0,2003-12-30,5,1,1,1,50,0,0,1,0,0,0,0,0,0,1,14,2,0,-1,4,5,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,0,0,0,0,0,1,11,2003,4,16.42,41,52,0,-1,0,0,0,0,0,0,0,1,0,0,-4,1,1,1,1,1,1,1,2,1,1,1,1,1,4,2,1,1,1,3,2,5,2,0,0,1,1,1,1,1,0,0,-1,1,3,0,-1,0,1,1,1,-1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ME1390,0,2003-12-30,5,1,1,1,47,1,0,1,0,0,0,0,0,0,1,11,2,0,-1,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,1,1,1,2002,7,11,45,-4,1,12,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,1,1,1,3,1,2,1,1,1,5,2,5,1,1,3,1,5,1,0,0,1,1,1,1,1,0,1,300,1,5,0,-1,1,1,1,1,-1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
ME1391,0,2003-12-30,5,1,1,0,53,1,0,1,0,0,0,0,0,0,1,12,3,1,1,1,5,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0,0,0,0,0,1,9,2003,1,17.79,40,24,1,12,0,0,0,0,0,0,0,1,0,1,20,1,1,1,1,1,1,1,2,1,1,1,1,2,4,2,4,2,4,2,1,4,1,0,0,1,1,1,1,1,0,1,-4,1,2,1,1,1,1,0,1,-1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ME1398,0,2003-12-30,5,1,1,0,63,1,0,1,0,0,0,0,0,0,1,12,8,0,-1,1,6,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,0,0,1,0,0,1,11,2003,4,12,40,47,1,25,0,0,0,0,0,1,0,0,0,1,3,1,1,1,2,1,1,1,4,1,1,1,1,1,5,3,5,3,1,4,1,5,1,0,0,1,1,1,1,1,0,0,-1,1,4,1,30,0,1,1,1,-1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ME1401,0,2004-01-06,5,1,1,1,53,1,0,1,0,0,0,0,0,0,1,18,1,0,-1,5,4,1,1,0,1,2,-4,10,2003,-4,-4,1,9,10,0,0,0,-1,0,1,1,0,0,0,0,0,1,6,2003,4,24,60,26,1,7,0,0,0,0,0,0,0,0,0,1,6,3,1,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,5,1,5,1,0,0,1,1,1,1,1,0,0,-1,1,5,1,3,0,1,0,1,-1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
